Target Distance: 20, Step Size: 0.001
0: (x,y) = (0, 0)
1: (x,y) = (0.000207912, 0.000978148)
2: (x,y) = (0.000661902, 0.00186915)
3: (x,y) = (0.00100392, 0.00280885)
4: (x,y) = (0.00179193, 0.00342451)
5: (x,y) = (0.00184427, 0.00442314)
6: (x,y) = (0.00187917, 0.00542253)
7: (x,y) = (0.00280635, 0.00579714)
8: (x,y) = (0.00329116, 0.00667176)
9: (x,y) = (0.00402252, 0.00735375)
10: (x,y) = (0.00496803, 0.00767932)
11: (x,y) = (0.00595572, 0.00783576)
12: (x,y) = (0.00619764, 0.00880605)
13: (x,y) = (0.0071487, 0.00911507)
14: (x,y) = (0.00812685, 0.00932298)
15: (x,y) = (0.00909278, 0.0095818)
16: (x,y) = (0.00931773, 0.0105562)
17: (x,y) = (0.00969233, 0.0114834)
18: (x,y) = (0.0106379, 0.0118089)
19: (x,y) = (0.011307, 0.0125521)
20: (x,y) = (0.0119088, 0.0133507)
21: (x,y) = (0.0125381, 0.0141278)
22: (x,y) = (0.0128637, 0.0150734)
23: (x,y) = (0.0134229, 0.0159024)
24: (x,y) = (0.0142975, 0.0163872)
25: (x,y) = (0.0151065, 0.016975)
26: (x,y) = (0.0160576, 0.017284)
27: (x,y) = (0.0167136, 0.0180387)
28: (x,y) = (0.017006, 0.018995)
29: (x,y) = (0.0174127, 0.0199086)
30: (x,y) = (0.0174476, 0.020908)
31: (x,y) = (0.0178222, 0.0218352)
32: (x,y) = (0.0179268, 0.0228297)
33: (x,y) = (0.0189011, 0.0230546)
34: (x,y) = (0.0194458, 0.0238933)
35: (x,y) = (0.0198842, 0.0247921)
36: (x,y) = (0.0208047, 0.0251828)
37: (x,y) = (0.0218047, 0.0251828)
38: (x,y) = (0.022097, 0.0261391)
39: (x,y) = (0.022597, 0.0270051)
40: (x,y) = (0.0233517, 0.0276612)
41: (x,y) = (0.0237425, 0.0285817)
42: (x,y) = (0.0247327, 0.0287209)
43: (x,y) = (0.0252022, 0.0296038)
44: (x,y) = (0.0257022, 0.0304699)
45: (x,y) = (0.0265008, 0.0310717)
46: (x,y) = (0.0270308, 0.0319197)
47: (x,y) = (0.0279371, 0.0323423)
48: (x,y) = (0.0282294, 0.0332986)
49: (x,y) = (0.0287445, 0.0341558)
50: (x,y) = (0.0295431, 0.0347576)
51: (x,y) = (0.0299499, 0.0356712)
52: (x,y) = (0.030657, 0.0363783)
53: (x,y) = (0.031466, 0.0369661)
54: (x,y) = (0.0317583, 0.0379224)
55: (x,y) = (0.0326155, 0.0384374)
56: (x,y) = (0.0333226, 0.0391445)
57: (x,y) = (0.0339918, 0.0398877)
58: (x,y) = (0.0341654, 0.0408725)
59: (x,y) = (0.0351557, 0.0410116)
60: (x,y) = (0.0361543, 0.041064)
61: (x,y) = (0.0371054, 0.041373)
62: (x,y) = (0.0376054, 0.042239)
63: (x,y) = (0.0381353, 0.0430871)
64: (x,y) = (0.038205, 0.0440846)
65: (x,y) = (0.0388742, 0.0448278)
66: (x,y) = (0.0396832, 0.0454156)
67: (x,y) = (0.0397529, 0.0464131)
68: (x,y) = (0.0405409, 0.0470288)
69: (x,y) = (0.040883, 0.0479685)
70: (x,y) = (0.041671, 0.0485841)
71: (x,y) = (0.0426107, 0.0489262)
72: (x,y) = (0.0433538, 0.0495953)
73: (x,y) = (0.0441199, 0.0502381)
74: (x,y) = (0.0444122, 0.0511944)
75: (x,y) = (0.0453032, 0.0516484)
76: (x,y) = (0.0453904, 0.0526446)
77: (x,y) = (0.0454601, 0.0536421)
78: (x,y) = (0.0463873, 0.0540167)
79: (x,y) = (0.046932, 0.0548554)
80: (x,y) = (0.0471056, 0.0558402)
81: (x,y) = (0.0480669, 0.0561159)
82: (x,y) = (0.0484736, 0.0570294)
83: (x,y) = (0.0484911, 0.0580292)
84: (x,y) = (0.0490061, 0.0588864)
85: (x,y) = (0.049248, 0.0598567)
86: (x,y) = (0.0496388, 0.0607772)
87: (x,y) = (0.0505843, 0.0611028)
88: (x,y) = (0.0508262, 0.0620731)
89: (x,y) = (0.051826, 0.0620905)
90: (x,y) = (0.0518958, 0.0630881)
91: (x,y) = (0.0525386, 0.0638541)
92: (x,y) = (0.0527294, 0.0648358)
93: (x,y) = (0.0528858, 0.0658235)
94: (x,y) = (0.0534594, 0.0666426)
95: (x,y) = (0.0543424, 0.0671121)
96: (x,y) = (0.0543773, 0.0681115)
97: (x,y) = (0.055132, 0.0687675)
98: (x,y) = (0.0554903, 0.0697011)
99: (x,y) = (0.056245, 0.0703572)
100: (x,y) = (0.0565706, 0.0713027)
101: (x,y) = (0.0575651, 0.0714072)
102: (x,y) = (0.0577559, 0.0723889)
103: (x,y) = (0.0583295, 0.073208)
104: (x,y) = (0.0585203, 0.0741896)
105: (x,y) = (0.0594906, 0.0744316)
106: (x,y) = (0.0598974, 0.0753451)
107: (x,y) = (0.0599148, 0.0763449)
108: (x,y) = (0.0600713, 0.0773326)
109: (x,y) = (0.0610675, 0.0774198)
110: (x,y) = (0.062062, 0.0775243)
111: (x,y) = (0.0630565, 0.0776289)
112: (x,y) = (0.0639394, 0.0780983)
113: (x,y) = (0.0641644, 0.0790727)
114: (x,y) = (0.0650849, 0.0794634)
115: (x,y) = (0.0660697, 0.0796371)
116: (x,y) = (0.0663787, 0.0805881)
117: (x,y) = (0.0669086, 0.0814362)
118: (x,y) = (0.0678422, 0.0817945)
119: (x,y) = (0.0686409, 0.0823964)
120: (x,y) = (0.069348, 0.0831035)
121: (x,y) = (0.0700171, 0.0838466)
122: (x,y) = (0.0708461, 0.0844058)
123: (x,y) = (0.0715408, 0.0851251)
124: (x,y) = (0.0722354, 0.0858445)
125: (x,y) = (0.0729668, 0.0865265)
126: (x,y) = (0.0734208, 0.0874175)
127: (x,y) = (0.0742595, 0.0879621)
128: (x,y) = (0.0743118, 0.0889608)
129: (x,y) = (0.0745874, 0.089922)
130: (x,y) = (0.0755385, 0.090231)
131: (x,y) = (0.0759292, 0.0911515)
132: (x,y) = (0.0759815, 0.0921502)
133: (x,y) = (0.0762235, 0.0931205)
134: (x,y) = (0.0772016, 0.0933284)
135: (x,y) = (0.0775762, 0.0942556)
136: (x,y) = (0.077767, 0.0952372)
137: (x,y) = (0.078297, 0.0960852)
138: (x,y) = (0.0792533, 0.0963776)
139: (x,y) = (0.079323, 0.0973752)
140: (x,y) = (0.0797614, 0.098274)
141: (x,y) = (0.0806819, 0.0986647)
142: (x,y) = (0.0814012, 0.0993593)
143: (x,y) = (0.0815577, 0.100347)
144: (x,y) = (0.0825577, 0.100347)
145: (x,y) = (0.082996, 0.101246)
146: (x,y) = (0.0831006, 0.10224)
147: (x,y) = (0.0840618, 0.102516)
148: (x,y) = (0.0845918, 0.103364)
149: (x,y) = (0.0855699, 0.103572)
150: (x,y) = (0.0862519, 0.104303)
151: (x,y) = (0.0867367, 0.105178)
152: (x,y) = (0.087643, 0.105601)
153: (x,y) = (0.0884622, 0.106174)
154: (x,y) = (0.0889772, 0.107031)
155: (x,y) = (0.089168, 0.108013)
156: (x,y) = (0.0891855, 0.109013)
157: (x,y) = (0.0896703, 0.109887)
158: (x,y) = (0.0903896, 0.110582)
159: (x,y) = (0.0906653, 0.111543)
160: (x,y) = (0.0916639, 0.111596)
161: (x,y) = (0.0918888, 0.11257)
162: (x,y) = (0.0928632, 0.112795)
163: (x,y) = (0.0935703, 0.113502)
164: (x,y) = (0.094325, 0.114158)
165: (x,y) = (0.0951996, 0.114643)
166: (x,y) = (0.0961507, 0.114952)
167: (x,y) = (0.0971355, 0.115126)
168: (x,y) = (0.0980918, 0.115418)
169: (x,y) = (0.0989399, 0.115948)
170: (x,y) = (0.0998309, 0.116402)
171: (x,y) = (0.0999873, 0.11739)
172: (x,y) = (0.100764, 0.118019)
173: (x,y) = (0.101294, 0.118867)
174: (x,y) = (0.101989, 0.119586)
175: (x,y) = (0.102989, 0.119586)
176: (x,y) = (0.103281, 0.120543)
177: (x,y) = (0.104202, 0.120933)
178: (x,y) = (0.104656, 0.121824)
179: (x,y) = (0.105141, 0.122699)
180: (x,y) = (0.105848, 0.123406)
181: (x,y) = (0.106333, 0.124281)
182: (x,y) = (0.107284, 0.12459)
183: (x,y) = (0.108283, 0.124625)
184: (x,y) = (0.109281, 0.124694)
185: (x,y) = (0.10942, 0.125685)
186: (x,y) = (0.110163, 0.126354)
187: (x,y) = (0.111133, 0.126596)
188: (x,y) = (0.112032, 0.127034)
189: (x,y) = (0.112763, 0.127716)
190: (x,y) = (0.113419, 0.128471)
191: (x,y) = (0.113489, 0.129468)
192: (x,y) = (0.113782, 0.130425)
193: (x,y) = (0.114769, 0.130581)
194: (x,y) = (0.115011, 0.131551)
195: (x,y) = (0.116011, 0.131586)
196: (x,y) = (0.116369, 0.13252)
197: (x,y) = (0.117051, 0.133251)
198: (x,y) = (0.117566, 0.134108)
199: (x,y) = (0.118332, 0.134751)
200: (x,y) = (0.118862, 0.135599)
201: (x,y) = (0.11907, 0.136577)
202: (x,y) = (0.119312, 0.137548)
203: (x,y) = (0.119503, 0.138529)
204: (x,y) = (0.119693, 0.139511)
205: (x,y) = (0.120502, 0.140099)
206: (x,y) = (0.121464, 0.140374)
207: (x,y) = (0.12233, 0.140874)
208: (x,y) = (0.122959, 0.141651)
209: (x,y) = (0.123933, 0.141876)
210: (x,y) = (0.124921, 0.142033)
