Target Distance: 63.6396, Step Size: 5
0: (x,y) = (0, 0)
1: (x,y) = (-3.83022, 3.21394)
2: (x,y) = (-0.114498, 6.55959)
3: (x,y) = (-3.88805, 3.2793)
4: (x,y) = (-3.80078, 8.27853)
5: (x,y) = (0.867118, 10.0704)
6: (x,y) = (5.06047, 12.7936)
7: (x,y) = (0.152335, 13.7476)
8: (x,y) = (-3.50443, 17.1576)
9: (x,y) = (-8.28596, 15.6957)
10: (x,y) = (-8.37322, 10.6965)
11: (x,y) = (-13.3458, 10.1739)
12: (x,y) = (-16.5598, 6.34364)
13: (x,y) = (-12.5666, 9.35272)
14: (x,y) = (-7.73696, 8.05862)
15: (x,y) = (-12.7096, 7.53598)
16: (x,y) = (-17.3121, 5.58233)
17: (x,y) = (-20.8476, 2.04679)
18: (x,y) = (-16.8025, -0.892134)
19: (x,y) = (-17.4119, 4.0706)
20: (x,y) = (-20.5585, 0.184867)
21: (x,y) = (-16.0645, -2.00699)
22: (x,y) = (-18.9324, -6.10275)
23: (x,y) = (-14.6023, -8.60275)
24: (x,y) = (-11.524, -12.5428)
25: (x,y) = (-16.0917, -10.5091)
26: (x,y) = (-18.5917, -14.8392)
27: (x,y) = (-13.701, -15.8788)
28: (x,y) = (-18.5728, -14.7541)
29: (x,y) = (-13.5759, -14.9285)
30: (x,y) = (-17.906, -17.4285)
31: (x,y) = (-18.0805, -12.4316)
32: (x,y) = (-21.7372, -9.0216)
33: (x,y) = (-26.7182, -8.58582)
34: (x,y) = (-31.6264, -9.53987)
35: (x,y) = (-32.3222, -4.58853)
36: (x,y) = (-33.7841, -9.37005)
37: (x,y) = (-36.8624, -5.43)
38: (x,y) = (-40.4591, -8.90329)
39: (x,y) = (-44.1159, -5.4933)
40: (x,y) = (-39.6608, -3.22334)
41: (x,y) = (-34.8545, -4.60153)
42: (x,y) = (-38.6847, -1.38759)
43: (x,y) = (-43.684, -1.30033)
44: (x,y) = (-48.684, -1.30033)
45: (x,y) = (-53.2155, 0.812761)
46: (x,y) = (-50.9456, 5.26779)
47: (x,y) = (-55.7519, 6.64598)
48: (x,y) = (-52.3419, 10.3027)
49: (x,y) = (-47.3449, 10.1283)
50: (x,y) = (-51.1751, 13.3422)
51: (x,y) = (-47.5184, 9.9322)
52: (x,y) = (-52.3247, 8.55401)
53: (x,y) = (-48.0389, 5.97882)
54: (x,y) = (-43.1004, 6.76099)
55: (x,y) = (-47.632, 4.6479)
56: (x,y) = (-52.2999, 6.43974)
57: (x,y) = (-57.2383, 5.65757)
58: (x,y) = (-53.765, 2.06087)
59: (x,y) = (-57.0453, 5.83442)
60: (x,y) = (-53.8314, 2.00419)
61: (x,y) = (-55.785, 6.60672)
62: (x,y) = (-51.9548, 3.39278)
63: (x,y) = (-56.4488, 1.20093)
64: (x,y) = (-52.2554, -1.52227)
65: (x,y) = (-56.6701, 0.825088)
66: (x,y) = (-56.8446, -4.17187)
67: (x,y) = (-59.9229, -8.11192)
After 68 steps,the subject has the following location:
(x,y) = (-64.7293,-9.49011)
or
(m,a) = (65.4212, -171.659бу)
Average outward distance per step = 1.47059
